"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"02.2G","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","1/60","21/21869",0.05608713450503,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","1/60","22/21869",0.0586793521876414,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0010965","regulation of mitotic sister chromatid separation","1/60","22/21869",0.0586793521876414,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0031145","anaphase-promoting complex-dependent catabolic process","1/60","22/21869",0.0586793521876414,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0044784","metaphase/anaphase transition of cell cycle","1/60","22/21869",0.0586793521876414,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:1905818","regulation of chromosome separation","1/60","22/21869",0.0586793521876414,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0009904","chloroplast accumulation movement","1/60","23/21869",0.0612645693281526,0.288275216193564,0.264373521988618,"AT5G55860",1
"02.2G","GO:0033045","regulation of sister chromatid segregation","1/60","23/21869",0.0612645693281526,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0034765","regulation of ion transmembrane transport","1/60","23/21869",0.0612645693281526,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:0051306","mitotic sister chromatid separation","1/60","23/21869",0.0612645693281526,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0009903","chloroplast avoidance movement","1/60","24/21869",0.06384280451264,0.288275216193564,0.264373521988618,"AT5G55860",1
"02.2G","GO:0007623","circadian rhythm","2/60","150/21869",0.0638950586259403,0.288275216193564,0.264373521988618,"AT3G01060/AT5G12050",2
"02.2G","GO:0048511","rhythmic process","2/60","150/21869",0.0638950586259403,0.288275216193564,0.264373521988618,"AT3G01060/AT5G12050",2
"02.2G","GO:0009966","regulation of signal transduction","3/60","334/21869",0.0639195563287797,0.288275216193564,0.264373521988618,"AT4G38200/AT3G15880/AT5G12050",3
"02.2G","GO:0031537","regulation of anthocyanin metabolic process","1/60","25/21869",0.0664140762786847,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0035196","production of miRNAs involved in gene silencing by miRNA","1/60","25/21869",0.0664140762786847,0.288275216193564,0.264373521988618,"AT2G33730",1
"02.2G","GO:0051983","regulation of chromosome segregation","1/60","25/21869",0.0664140762786847,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0023051","regulation of signaling","3/60","340/21869",0.0666781447950957,0.288275216193564,0.264373521988618,"AT4G38200/AT3G15880/AT5G12050",3
"02.2G","GO:0010646","regulation of cell communication","3/60","344/21869",0.0685474134395682,0.288275216193564,0.264373521988618,"AT4G38200/AT3G15880/AT5G12050",3
"02.2G","GO:0009937","regulation of gibberellic acid mediated signaling pathway","1/60","26/21869",0.0689784031154945,0.288275216193564,0.264373521988618,"AT3G15880",1
"02.2G","GO:0009962","regulation of flavonoid biosynthetic process","1/60","26/21869",0.0689784031154945,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0070816","phosphorylation of RNA polymerase II C-terminal domain","1/60","26/21869",0.0689784031154945,0.288275216193564,0.264373521988618,"AT4G17020",1
"02.2G","GO:0030091","protein repair","1/60","27/21869",0.0715358034640308,0.288275216193564,0.264373521988618,"AT4G04840",1
"02.2G","GO:0050826","response to freezing","1/60","27/21869",0.0715358034640308,0.288275216193564,0.264373521988618,"AT5G38480",1
"02.2G","GO:0090068","positive regulation of cell cycle process","1/60","27/21869",0.0715358034640308,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:1902074","response to salt","1/60","27/21869",0.0715358034640308,0.288275216193564,0.264373521988618,"AT5G08450",1
"02.2G","GO:2000762","regulation of phenylpropanoid metabolic process","1/60","27/21869",0.0715358034640308,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0048586","regulation of long-day photoperiodism, flowering","1/60","28/21869",0.0740862957171283,0.288275216193564,0.264373521988618,"AT1G21920",1
"02.2G","GO:0055081","anion homeostasis","1/60","28/21869",0.0740862957171283,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:0098661","inorganic anion transmembrane transport","1/60","28/21869",0.0740862957171283,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:2000023","regulation of lateral root development","1/60","28/21869",0.0740862957171283,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0042254","ribosome biogenesis","3/60","356/21869",0.0742979090958504,0.288275216193564,0.264373521988618,"AT2G27530/AT4G27010/AT3G19810",3
"02.2G","GO:2000012","regulation of auxin polar transport","1/60","29/21869",0.0766298982196223,0.288275216193564,0.264373521988618,"AT2G19620",1
"02.2G","GO:0048580","regulation of post-embryonic development","3/60","362/21869",0.0772520763236134,0.288275216193564,0.264373521988618,"AT5G13290/AT5G49660/AT1G21920",3
"02.2G","GO:0009902","chloroplast relocation","1/60","30/21869",0.079166629268469,0.288275216193564,0.264373521988618,"AT5G55860",1
"02.2G","GO:0045037","protein import into chloroplast stroma","1/60","30/21869",0.079166629268469,0.288275216193564,0.264373521988618,"ATCG01130",1
"02.2G","GO:0048508","embryonic meristem development","1/60","30/21869",0.079166629268469,0.288275216193564,0.264373521988618,"AT3G15880",1
"02.2G","GO:0051667","establishment of plastid localization","1/60","30/21869",0.079166629268469,0.288275216193564,0.264373521988618,"AT5G55860",1
"02.2G","GO:2000069","regulation of post-embryonic root development","1/60","30/21869",0.079166629268469,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:2000652","regulation of secondary cell wall biogenesis","1/60","30/21869",0.079166629268469,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0048831","regulation of shoot system development","2/60","172/21869",0.0809710699082888,0.288275216193564,0.264373521988618,"AT5G13290/AT5G49660",2
"02.2G","GO:0010088","phloem development","1/60","31/21869",0.0816965071128709,0.288275216193564,0.264373521988618,"AT5G13290",1
"02.2G","GO:0007264","small GTPase mediated signal transduction","1/60","32/21869",0.0842195499543964,0.288275216193564,0.264373521988618,"AT4G38200",1
"02.2G","GO:1900376","regulation of secondary metabolite biosynthetic process","1/60","32/21869",0.0842195499543964,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:2000026","regulation of multicellular organismal development","3/60","376/21869",0.084344493443785,0.288275216193564,0.264373521988618,"AT5G13290/AT5G49660/AT1G21920",3
"02.2G","GO:0000460","maturation of 5.8S rRNA","1/60","33/21869",0.0867357759471032,0.288275216193564,0.264373521988618,"AT4G27010",1
"02.2G","GO:0009718","anthocyanin-containing compound biosynthetic process","1/60","33/21869",0.0867357759471032,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0010014","meristem initiation","1/60","33/21869",0.0867357759471032,0.288275216193564,0.264373521988618,"AT3G15880",1
"02.2G","GO:0034762","regulation of transmembrane transport","1/60","33/21869",0.0867357759471032,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:0003002","regionalization","2/60","182/21869",0.089152405678313,0.288275216193564,0.264373521988618,"AT2G27530/AT5G49660",2
"02.2G","GO:2000241","regulation of reproductive process","3/60","388/21869",0.0906397889935047,0.288275216193564,0.264373521988618,"AT5G13290/AT5G49660/AT1G21920",3
"02.2G","GO:0007088","regulation of mitotic nuclear division","1/60","35/21869",0.0917478497654713,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0016575","histone deacetylation","1/60","35/21869",0.0917478497654713,0.288275216193564,0.264373521988618,"AT5G08450",1
"02.2G","GO:0019750","chloroplast localization","1/60","35/21869",0.0917478497654713,0.288275216193564,0.264373521988618,"AT5G55860",1
"02.2G","GO:0051644","plastid localization","1/60","35/21869",0.0917478497654713,0.288275216193564,0.264373521988618,"AT5G55860",1
"02.2G","GO:0048638","regulation of developmental growth","2/60","186/21869",0.0924918221259593,0.288275216193564,0.264373521988618,"AT5G13290/AT5G49660",2
"02.2G","GO:0006817","phosphate ion transport","1/60","36/21869",0.0942437336627904,0.288275216193564,0.264373521988618,"AT2G33770",1
"02.2G","GO:0006995","cellular response to nitrogen starvation","1/60","36/21869",0.0942437336627904,0.288275216193564,0.264373521988618,"AT5G38480",1
"02.2G","GO:0045787","positive regulation of cell cycle","1/60","36/21869",0.0942437336627904,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0006476","protein deacetylation","1/60","37/21869",0.0967328728548498,0.288275216193564,0.264373521988618,"AT5G08450",1
"02.2G","GO:0006891","intra-Golgi vesicle-mediated transport","1/60","37/21869",0.0967328728548498,0.288275216193564,0.264373521988618,"AT5G11980",1
"02.2G","GO:0010082","regulation of root meristem growth","1/60","37/21869",0.0967328728548498,0.288275216193564,0.264373521988618,"AT5G13290",1
"02.2G","GO:0032875","regulation of DNA endoreduplication","1/60","37/21869",0.0967328728548498,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0035195","gene silencing by miRNA","1/60","38/21869",0.0992152852599758,0.288275216193564,0.264373521988618,"AT2G33730",1
"02.2G","GO:0060968","regulation of gene silencing","1/60","38/21869",0.0992152852599758,0.288275216193564,0.264373521988618,"AT2G33730",1
"02.2G","GO:1903338","regulation of cell wall organization or biogenesis","1/60","38/21869",0.0992152852599758,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0032879","regulation of localization","2/60","195/21869",0.100136944509065,0.288275216193564,0.264373521988618,"AT2G19620/AT2G33770",2
"02.2G","GO:0051304","chromosome separation","1/60","39/21869",0.101690988749711,0.288275216193564,0.264373521988618,"AT1G78770",1
"02.2G","GO:0072583","clathrin-dependent endocytosis","1/60","39/21869",0.101690988749711,0.288275216193564,0.264373521988618,"AT4G32285",1
"02.2G","GO:0010078","maintenance of root meristem identity","1/60","40/21869",0.104160001148933,0.288275216193564,0.264373521988618,"AT5G13290",1
"02.2G","GO:0015706","nitrate transport","1/60","40/21869",0.104160001148933,0.288275216193564,0.264373521988618,"AT5G49660",1
"02.2G","GO:0035601","protein deacylation","1/60","40/21869",0.104160001148933,0.288275216193564,0.264373521988618,"AT5G08450",1
"02.2G","GO:0090696","post-embryonic plant organ development","2/60","201/21869",0.105329687770322,0.288275216193564,0.264373521988618,"AT2G27530/AT5G49660",2
"02.2G","GO:0042742","defense response to bacterium","3/60","416/21869",0.106066246416005,0.288275216193564,0.264373521988618,"AT1G64550/AT5G13290/AT4G12010",3
"02.2G","GO:0006623","protein targeting to vacuole","1/60","41/21869",0.106622340235976,0.288275216193564,0.264373521988618,"AT1G08190",1
"02.2G","GO:0009955","adaxial/abaxial pattern specification","1/60","41/21869",0.106622340235976,0.288275216193564,0.264373521988618,"AT2G27530",1
"02.2G","GO:0098732","macromolecule deacylation","1/60","41/21869",0.106622340235976,0.288275216193564,0.264373521988618,"AT5G08450",1
"02.2G","GO:0016236","macroautophagy","1/60","43/21869",0.111527069354855,0.292858851183611,0.268577115144595,"AT1G08190",1
"02.2G","GO:0045595","regulation of cell differentiation","1/60","58/21869",0.147478092063779,0.314792418732628,0.288692110041746,"AT5G13290",1
"02.2G","GO:0048584","positive regulation of response to stimulus","2/60","258/21869",0.157780076501085,0.318175292391691,0.29179450030442,"AT5G12050/AT1G21920",2
"02.2G","GO:0030258","lipid modification","1/60","96/21869",0.232275120423413,0.365432840321318,0.335133794440315,"AT1G73740",1
"02.2G","GO:0009860","pollen tube growth","1/60","169/21869",0.372556960973314,0.487395307366522,0.446984016561078,"AT5G11980",1
"02.2G","GO:0070085","glycosylation","1/60","171/21869",0.376021974931787,0.490171503036079,0.44953003018161,"AT1G73740",1
"03.3A","GO:0009553","embryo sac development","4/55","155/21869",0.000625054671179105,0.0909141073608871,0.0815383402282043,"AT1G06220/AT1G72440/AT3G23940/AT4G37450",4
"03.3A","GO:0010215","cellulose microfibril organization","2/55","17/21869",0.000824394530992538,0.0909141073608871,0.0815383402282043,"AT2G22125/AT3G16860",2
"03.3A","GO:0070726","cell wall assembly","2/55","20/21869",0.0011461687109456,0.0909141073608871,0.0815383402282043,"AT2G22125/AT3G16860",2
"03.3A","GO:0071668","plant-type cell wall assembly","2/55","20/21869",0.0011461687109456,0.0909141073608871,0.0815383402282043,"AT2G22125/AT3G16860",2
"03.3A","GO:0048229","gametophyte development","6/55","478/21869",0.00123765272204599,0.0909141073608871,0.0815383402282043,"AT1G06220/AT1G72440/AT3G10405/AT3G23940/AT4G37450/AT2G22125",6
